# id:13-26--13-1 
0.36,0.23,1
0.32,0.69,-1
-0.21,0.89,-1
0.15,0.92,-1
0.1,-0.27,1
0.61,-0.99,1
-0.73,-0.04,1
0.5,-0.57,1
0.94,0.62,1
0.38,0.5,-1
-0.92,0.76,1
0.96,0.31,1
-0.97,0.2,1
-0.57,-0.51,1
0.03,0.57,-1
-0.71,-0.47,1
0.2,-0.49,1
0.58,-0.4,1
0.62,-0.66,1
0.87,-0.99,1
-0.35,-0.94,1
0.14,0.35,-1
-0.76,-0.63,1
0.94,0.93,1
-0.46,-0.63,1
0.23,0.32,-1
-0.69,0.89,1
-0.65,-0.73,1
-0.4,0.6,-1
0.54,-0.25,1
-0.39,-0.54,1
-0.62,0.37,1
0.86,-0.68,1
0.94,-0.5,1
0.5,-0.62,1
0.11,-0.61,1
0.71,-0.17,1
0.57,0.04,1
-0.76,0.94,1
-0.73,-0.02,1
-0.21,-0.9,1
0.28,-0.21,1
-0.48,-0.41,1
0.28,0.22,1
0.42,0.09,1
-0.11,-0.55,1
-0.78,-0.67,1
-0.32,0.84,-1
-0.7,-0.44,1
0.39,0.7,-1
-0.11,0.27,-1
-0.7,-0.13,1
0.2,0.21,-1
-0.12,-0.7,1
0.8,-0.72,1
-0.97,-0.79,1
-0.38,-0.66,1
0.67,0.71,1
0.43,0.05,1
0.67,-0.38,1
0.6,-0.88,1
-0.64,0.49,1
0.3,-0.06,1
-0.74,0.34,1
0.16,-0.15,1
-0.35,-0.95,1
-0.97,-0.21,1
0.12,-0.37,1
-0.47,0.6,-1
-0.03,0.97,-1
-0.17,0.58,-1
-0.18,0.52,-1
0.22,0.96,-1
0.85,-0.75,1
0.41,0.56,-1
-0.71,0.94,-1
-0.83,-0.2,1
-0.08,0.64,-1
1,0.87,1
0.79,0.44,1
0.32,0.44,-1
-0.63,-0.76,1
-0.38,0.35,1
0.32,-0.88,1
0.33,0.12,-1
0.38,-0.87,1
-0.11,0,1
0.01,0.3,-1
-0.8,-0.42,1
-0.94,0.08,1
0.59,-0.01,1
0.95,-0.86,1
0.26,0.92,-1
-0.18,0.37,-1
-0.44,0.41,-1
-0.92,0.06,1
0.88,0.99,1
0.69,-0.77,1
-0.81,0.4,1
0.38,-0.74,1
-0.39,0.39,-1
-0.58,-0.11,1
-0.97,-0.36,1
-0.25,-0.51,1
0.02,0,1
0.88,-0.14,1
-0.58,0.99,-1
-0.24,-0.14,1
-0.09,-0.79,1
0.02,0.21,-1
0.13,-0.85,1
0.45,0.38,-1
-0.12,-0.22,1
-0.26,0.02,1
0.72,-0.47,1
-0.93,0.37,1
-0.83,0.06,1
-0.34,-0.27,1
0.93,-0.58,1
0.58,-0.41,1
0.28,0.41,-1
-0.27,0.49,-1
-0.87,-0.36,1
0.94,-0.84,1
-0.12,0.34,-1
0.32,0.84,-1
0.38,-0.63,1
-0.98,0.05,1
-0.97,-0.39,1
-0.81,0.52,1
-0.38,-0.31,1
-0.57,0.33,1
0.98,-0.57,1
-0.26,0.5,-1
-0.48,-0.33,1
